Rectangle Co-ordinates,Centroid,Area,Time
"(504, 152, 363, 479)","(680, 388)",132564.0,1581815904.9928477
"(494, 152, 373, 479)","(679, 388)",133127.0,1581815905.026735
"(498, 154, 367, 478)","(679, 389)",132856.5,1581815905.0596244
"(498, 50, 369, 581)","(680, 367)",142727.0,1581815905.0935109
"(496, 151, 371, 480)","(679, 388)",133774.0,1581815905.126401
"(498, 152, 369, 480)","(679, 388)",133369.5,1581815905.1602874
"(496, 154, 371, 477)","(678, 388)",133514.5,1581815905.194174
"(496, 154, 371, 476)","(678, 388)",133771.0,1581815905.2291477
"(498, 153, 369, 478)","(679, 389)",133370.0,1581815905.261185
"(498, 152, 369, 480)","(680, 387)",132380.0,1581815905.2951555
"(496, 152, 371, 479)","(678, 387)",133187.5,1581815905.328606
